Maker,Base_number,Weight(Ton),Height(mm),Outer_max,Outer_min,Inner
EBNER,1,35,2800,1700,900,508
EBNER,2,35,2800,1700,900,508
EBNER,3,35,2800,1700,900,508
EBNER,4,35,2800,1700,900,508
EBNER,5,35,2800,1700,900,508
EBNER,6,35,2800,1700,900,508
EBNER,27,50,2800,2000,900,"508,610"
EBNER,28,50,2800,2000,900,"508,610"
EBNER,29,50,2800,2000,900,"508,610"
EBNER,30,50,2800,2000,900,"508,610"
EBNER,7,75,4100,1900,1300,610
EBNER,8,75,4100,1900,1300,610
EBNER,9,75,4100,1900,1300,610
EBNER,10,75,4100,1900,1300,610
EBNER,11,75,4100,2000,1300,610
EBNER,12,75,4100,2000,1300,610
EBNER,13,75,4100,2000,1300,610
EBNER,14,75,4100,2000,1300,610
EBNER,15,75,4100,2000,1300,610
EBNER,16,75,4100,2000,1300,610
EBNER,17,75,4100,2000,1300,610
EBNER,18,75,4100,2000,1300,610
EBNER,19,75,4100,2000,1300,610
EBNER,20,75,4100,2000,1300,610
EBNER,21,75,4100,2000,1300,610
EBNER,22,75,4100,2000,1300,610
EBNER,23,75,4100,2000,1300,610
EBNER,24,75,4100,2000,1300,610
EBNER,25,75,4100,2000,1300,610
EBNER,26,75,4100,2000,1300,610
LOI,1,75,4100,2000,900,610
LOI,2,75,4100,2000,900,610
LOI,3,75,4100,2000,900,610
LOI,4,75,4100,2000,900,610
LOI,5,75,4100,2000,900,610
LOI,6,75,4100,2000,900,610
LOI,7,75,4100,2000,900,610
LOI,8,75,4100,2000,900,610
LOI,9,75,4100,2000,900,610
LOI,10,75,4100,2000,900,610
LOI,11,75,4100,2000,900,610
LOI,12,75,4100,2000,900,610
LOI,13,75,4100,2000,900,610
LOI,14,75,4100,2000,900,610
LOI,15,75,4100,2000,900,610
LOI,16,75,4100,2000,900,610
LOI,17,75,4100,2000,900,610
LOI,18,75,4100,2000,900,610
LOI,19,75,4100,2000,900,610
LOI,20,75,4100,2000,900,610
LOI,21,75,4100,2000,900,610
LOI,22,75,4100,2000,900,610
LOI,23,75,4100,2000,900,610
LOI,24,75,4100,2000,900,610
